mean_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,mean_iat,std_iat,max_iat,flow_duration,packet_count,large_packet_ratio,burst_density,mean_burst_time,label,group_id
80.14,8.386918385199657,70.0,112.0,8014,0.00018534034189551769,0.00019890628825589124,0.001176595687866211,0.01834869384765625,100,0.0,436737.5317830495,0.01834869384765625,signaling,0
78.1,7.511990415329349,70.0,88.0,7810,0.00013655123084482522,0.00012687574239943252,0.0007052421569824219,0.013518571853637695,100,0.0,577681.0156823548,0.013518571853637695,signaling,0
89.72,59.57383318202715,70.0,469.0,8972,0.0009296205308702257,0.003105500662268052,0.025368452072143555,0.09203243255615234,100,0.0,97486.3128627297,0.09203243255615234,signaling,0
77.7,7.415524256584964,70.0,88.0,7770,0.00015360658819025213,0.00021429920772809142,0.0017590522766113281,0.015207052230834961,100,0.0,510913.5530351481,0.015207052230834961,signaling,0
77.86,7.38243862148545,70.0,88.0,7786,0.0001255430356420652,0.0001044834614012431,0.0005307197570800781,0.012428760528564453,100,0.0,626399.8394906508,0.012428760528564453,signaling,0
78.4,8.138795979750322,70.0,112.0,7840,0.00013137827015886403,0.00011673779312078655,0.0006160736083984375,0.013006448745727539,100,0.0,602731.5696765784,0.013006448745727539,signaling,0
81.01,34.06038608119409,70.0,409.0,8101,0.00030171750771878944,0.0008867049646961938,0.007201671600341797,0.029870033264160156,100,0.0,271199.18913952453,0.029870033264160156,signaling,0
94.62,68.94864465672983,70.0,469.0,9462,0.001127418845590919,0.0025338104607982694,0.01155400276184082,0.11161446571350098,100,0.0,84773.1982258394,0.11161446571350098,signaling,0
84.5,40.66607923072988,70.0,469.0,8450,0.0009259623710555259,0.0027095260742324412,0.02347254753112793,0.09167027473449707,100,0.0,92177.18445034513,0.09167027473449707,signaling,0
84.14,51.44006609638055,70.0,469.0,8414,0.0006460372847740096,0.0019166159187709775,0.015732526779174805,0.06395769119262695,100,0.0,131553.66132585827,0.06395769119262695,signaling,0
85.2,51.63467826955059,70.0,469.0,8520,0.0007798165986032197,0.0022259112787336582,0.01616692543029785,0.07720184326171875,100,0.0,110358.62981259741,0.07720184326171875,signaling,0
84.53,45.256923227280936,70.0,409.0,8453,0.0006550490254103535,0.0022410871062245883,0.020686626434326172,0.064849853515625,100,0.0,130345.23898692182,0.064849853515625,signaling,0
88.47,51.28829398605494,70.0,469.0,8847,0.0014546591826159545,0.003248060087336713,0.01899886131286621,0.1440112590789795,100,0.0,61432.27011769957,0.1440112590789795,signaling,0
85.41,46.61718459967312,70.0,409.0,8541,0.0012045002946949968,0.0028441141760846105,0.01522064208984375,0.11924552917480469,100,0.0,71624.7261794904,0.11924552917480469,signaling,0
87.97,47.5809741388299,70.0,409.0,8797,0.0006048968344023733,0.0013789418455838391,0.00869441032409668,0.05988478660583496,100,0.0,146896.29206845662,0.05988478660583496,signaling,0
88.38,59.335786840657974,70.0,469.0,8838,0.0012180058643071338,0.0031467471899929234,0.019350051879882812,0.12058258056640625,100,0.0,73293.56085203365,0.12058258056640625,signaling,0
83.04,33.66627986576479,70.0,409.0,8304,0.0007927923491506865,0.0016850143568543229,0.008748769760131836,0.07848644256591797,100,0.0,105800.36409041936,0.07848644256591797,signaling,0
82.75,39.82671841866964,70.0,469.0,8275,0.0006261618450434521,0.0014193993672632,0.01070404052734375,0.06199002265930176,100,0.0,133487.07030498286,0.06199002265930176,signaling,0
87.54,52.07272222574886,70.0,469.0,8754,0.0005818545216261738,0.0013533583343610927,0.007586240768432617,0.05760359764099121,100,0.0,151967.03663408087,0.05760359764099121,signaling,0
90.92,59.410382930932194,70.0,469.0,9092,0.001296084336560182,0.00301283496124836,0.01839160919189453,0.128312349319458,100,0.0,70857.78719222668,0.128312349319458,signaling,0
90.79,59.30755348182894,70.0,469.0,9079,0.001197208057750355,0.0024142240624173573,0.014534950256347656,0.11852359771728516,100,0.0,76600.13343100302,0.11852359771728516,signaling,0
88.19,59.19133298042882,70.0,469.0,8819,0.0008062521616617838,0.0018905851518994244,0.012198209762573242,0.0798189640045166,100,0.0,110486.14353548165,0.0798189640045166,signaling,0
82.43,33.71861651966166,70.0,409.0,8243,0.0006589504203411064,0.0018102583033442927,0.013323068618774414,0.06523609161376953,100,0.0,126354.49858497613,0.06523609161376953,signaling,0
84.65,49.67220047471222,70.0,469.0,8465,0.0006934296001087536,0.0016852420648650415,0.010130167007446289,0.0686495304107666,100,0.0,123305.6751251614,0.0686495304107666,signaling,0
87.98,59.22431595214923,70.0,469.0,8798,0.0011584806923914438,0.0024109057106905,0.012572288513183594,0.11468958854675293,100,0.0,76710.740710983,0.11468958854675293,signaling,0
110.77,97.59752609569568,70.0,469.0,11077,0.0011460732932042593,0.0026465026373140017,0.01504826545715332,0.11346125602722168,100,0.0,97627.17918584682,0.11346125602722168,signaling,0
80.22,31.24694545071565,70.0,383.0,8022,0.0005507372846507063,0.0020437590889165625,0.01606464385986328,0.05452299118041992,100,0.0,147127.8940944583,0.05452299118041992,signaling,0
87.87,60.62353585860858,70.0,469.0,8787,0.001499387953016493,0.003436071372207016,0.019516468048095703,0.1484394073486328,100,0.0,59195.4721557892,0.1484394073486328,signaling,0
97.7,85.36070524544652,70.0,573.0,9770,0.0016885213177613538,0.005450832917718514,0.04543113708496094,0.16716361045837402,100,0.0,58445.38490060877,0.16716361045837402,signaling,0
102.5,81.21545419438347,70.0,469.0,10250,0.0006340368829592309,0.0017623606020041216,0.014718055725097656,0.06276965141296387,100,0.0,163292.87285177183,0.06276965141296387,signaling,0
95.08,58.572293791518874,70.0,403.0,9508,0.0003821199590509588,0.0011436203699019736,0.010679244995117188,0.03782987594604492,100,0.0,251329.0999013737,0.03782987594604492,signaling,0
89.7,48.49896906120789,70.0,409.0,8970,0.0005851345832901772,0.001413010966414044,0.010385274887084961,0.05792832374572754,100,0.0,154843.85834318606,0.05792832374572754,signaling,0
